TRD, 0.142857, 367
TRD, 0.714286, 113
TRD, 1.285714, 415
TRD, 3.000000, 275
TRD, 16.428571, 105
TRD, 17.285714, 296
TRD, 17.428571, 306
TRD, 17.857143, 94
TRD, 18.142857, 81
TRD, 30.142857, 277
TRD, 30.857143, 92
TRD, 33.000000, 128
TRD, 45.285714, 101
TRD, 61.714286, 108
TRD, 62.285714, 123
TRD, 62.428571, 128
TRD, 63.142857, 240
TRD, 64.000000, 157
TRD, 76.000000, 98
TRD, 91.571429, 89
TRD, 92.142857, 239
TRD, 92.714286, 278
TRD, 106.428571, 109
TRD, 106.571429, 153
TRD, 107.000000, 245
TRD, 108.285714, 204
TRD, 109.428571, 58
TRD, 121.142857, 55
TRD, 121.571429, 93
TRD, 122.285714, 97
TRD, 122.714286, 53
TRD, 123.571429, 117
TRD, 124.142857, 284
TRD, 151.142857, 103
TRD, 151.285714, 109
TRD, 151.571429, 110
TRD, 151.857143, 63
TRD, 152.000000, 241
TRD, 152.857143, 48
TRD, 167.571429, 197
TRD, 168.714286, 213
TRD, 181.714286, 110
TRD, 182.000000, 261
TRD, 182.571429, 283
TRD, 183.571429, 159
TRD, 186.857143, 103
TRD, 197.428571, 233
TRD, 197.714286, 136
TRD, 198.714286, 98
TRD, 205.714286, 272
TRD, 211.714286, 373
TRD, 212.714286, 108
TRD, 213.142857, 93
TRD, 213.857143, 192
TRD, 227.571429, 337
TRD, 242.142857, 211
TRD, 244.571429, 105
TRD, 258.857143, 90
TRD, 272.571429, 98
TRD, 273.285714, 107
TRD, 289.714286, 109
TRD, 302.285714, 108
TRD, 302.714286, 97
TRD, 317.714286, 110
TRD, 333.857143, 95
TRD, 334.714286, 106
TRD, 363.000000, 107
TRD, 363.142857, 110
TRD, 363.714286, 95
TRD, 365.285714, 87
TRD, 366.571429, 148
TRD, 367.285714, 163
TRD, 369.142857, 125
TRD, 379.142857, 108
TRD, 392.714286, 102
TRD, 393.428571, 234
TRD, 394.000000, 112
TRD, 394.285714, 361
TRD, 395.857143, 278
TRD, 398.000000, 230
TRD, 409.571429, 203
TRD, 410.428571, 271
TRD, 410.714286, 285
TRD, 411.285714, 92
TRD, 411.571429, 95
TRD, 411.857143, 357
TRD, 412.142857, 403
TRD, 413.428571, 473
TRD, 423.142857, 288
TRD, 423.285714, 199
TRD, 423.714286, 170
TRD, 424.571429, 236
TRD, 425.000000, 103
TRD, 425.428571, 269
TRD, 427.428571, 432
TRD, 427.714286, 363
TRD, 428.000000, 90
TRD, 428.714286, 275
TRD, 438.714286, 98
TRD, 440.000000, 291
TRD, 440.714286, 197
TRD, 441.714286, 85
TRD, 483.285714, 101
TRD, 483.428571, 102
TRD, 483.571429, 107
TRD, 486.285714, 119
TRD, 499.000000, 107
TRD, 499.142857, 181
TRD, 500.285714, 282
TRD, 501.142857, 218
TRD, 514.142857, 138
TRD, 514.285714, 112
TRD, 529.000000, 290
TRD, 545.142857, 322
TRD, 545.857143, 233
TRD, 560.571429, 159
TRD, 561.571429, 99
TRD, 576.142857, 238
TRD, 578.000000, 289
TRD, 578.571429, 397
TRD, 589.428571, 111
TRD, 604.285714, 330
TRD, 605.285714, 196
TRD, 606.142857, 115
TRD, 606.428571, 106
TRD, 606.714286, 333
TRD, 620.571429, 170
TRD, 621.857143, 116
TRD, 622.571429, 151
TRD, 635.000000, 108
TRD, 635.714286, 107
TRD, 650.571429, 101
TRD, 650.857143, 98
TRD, 652.571429, 429
TRD, 665.000000, 141
TRD, 665.571429, 97
TRD, 666.714286, 95
TRD, 667.571429, 152
TRD, 670.714286, 89
TRD, 671.428571, 208
TRD, 672.285714, 114
TRD, 673.285714, 45
TRD, 673.571429, 238
TRD, 673.857143, 251
TRD, 675.000000, 74
TRD, 677.714286, 210
TRD, 679.571429, 260
TRD, 680.142857, 112
TRD, 681.857143, 71
TRD, 682.428571, 100
TRD, 696.428571, 95
TRD, 725.857143, 100
TRD, 726.571429, 95
TRD, 727.428571, 110
TRD, 728.142857, 111
TRD, 728.285714, 152
TRD, 728.428571, 360
TRD, 728.714286, 396
TRD, 729.428571, 494
TRD, 730.428571, 375
TRD, 730.857143, 284
TRD, 731.428571, 272
TRD, 736.142857, 288
TRD, 740.714286, 212
TRD, 741.857143, 141
TRD, 756.000000, 112
TRD, 756.142857, 214
TRD, 771.714286, 113
TRD, 786.285714, 153
TRD, 801.428571, 98
TRD, 802.428571, 184
TRD, 816.714286, 108
TRD, 821.000000, 115
TRD, 822.285714, 181
TRD, 823.571429, 132
TRD, 824.428571, 245
TRD, 831.428571, 95
TRD, 832.714286, 186
TRD, 833.000000, 334
TRD, 835.142857, 371
TRD, 836.000000, 387
TRD, 836.142857, 190
TRD, 837.428571, 315
TRD, 838.428571, 424
TRD, 838.857143, 185
TRD, 847.428571, 134
TRD, 849.571429, 256
TRD, 850.857143, 315
TRD, 851.000000, 112
TRD, 852.000000, 252
TRD, 862.142857, 235
TRD, 877.571429, 106
TRD, 880.285714, 107
TRD, 892.000000, 99
TRD, 893.428571, 135
TRD, 893.714286, 146
TRD, 894.428571, 149
TRD, 895.142857, 253
TRD, 907.857143, 367
TRD, 923.285714, 191
TRD, 937.857143, 165
TRD, 953.428571, 110
TRD, 955.285714, 103
TRD, 955.428571, 88
TRD, 957.000000, 135
TRD, 967.857143, 104
TRD, 968.142857, 58
TRD, 970.428571, 203
TRD, 984.428571, 111
TRD, 985.285714, 227
TRD, 986.571429, 288
TRD, 987.142857, 353
TRD, 988.142857, 398
TRD, 989.571429, 352
TRD, 998.000000, 258
TRD, 998.428571, 102
TRD, 999.285714, 231
TRD, 999.714286, 303
TRD, 1013.857143, 232
TRD, 1028.857143, 202
TRD, 1029.428571, 282
TRD, 1044.571429, 170
TRD, 1044.714286, 237
TRD, 1048.000000, 171
TRD, 1059.142857, 129
TRD, 1060.285714, 109
TRD, 1060.571429, 142
TRD, 1061.428571, 261
TRD, 1062.000000, 392
TRD, 1063.714286, 107
TRD, 1065.857143, 92
TRD, 1074.714286, 91
TRD, 1088.714286, 98
TRD, 1090.142857, 102
TRD, 1090.285714, 107
TRD, 1090.428571, 206
TRD, 1120.571429, 99
TRD, 1120.714286, 87
TRD, 1121.428571, 36
TRD, 1121.571429, 115
TRD, 1122.285714, 101
TRD, 1122.571429, 74
TRD, 1123.000000, 149
TRD, 1123.285714, 398
TRD, 1123.571429, 335
TRD, 1124.000000, 264
TRD, 1125.000000, 277
TRD, 1126.571429, 42
TRD, 1131.285714, 91
TRD, 1131.857143, 171
TRD, 1150.142857, 109
TRD, 1153.142857, 115
TRD, 1165.285714, 114
TRD, 1166.571429, 172
TRD, 1166.714286, 215
TRD, 1167.285714, 296
TRD, 1179.714286, 374
TRD, 1180.571429, 127
TRD, 1194.857143, 333
TRD, 1195.571429, 288
TRD, 1198.714286, 114
TRD, 1210.142857, 226
TRD, 1210.285714, 462
TRD, 1210.571429, 99
TRD, 1210.857143, 105
TRD, 1225.285714, 111
TRD, 1226.000000, 177
TRD, 1228.714286, 183
TRD, 1240.142857, 112
TRD, 1242.714286, 106
TRD, 1243.142857, 175
TRD, 1244.428571, 107
TRD, 1245.285714, 86
TRD, 1246.571429, 185
TRD, 1247.285714, 374
TRD, 1247.428571, 367
TRD, 1247.857143, 474
TRD, 1248.428571, 345
TRD, 1248.857143, 209
TRD, 1249.000000, 218
TRD, 1250.714286, 286
TRD, 1251.428571, 198
TRD, 1252.142857, 168
TRD, 1255.714286, 174
TRD, 1300.714286, 97
TRD, 1301.142857, 104
TRD, 1301.857143, 109
TRD, 1302.428571, 183
TRD, 1304.714286, 345
TRD, 1306.285714, 121
TRD, 1319.857143, 163
TRD, 1320.571429, 233
TRD, 1320.857143, 274
TRD, 1331.142857, 108
TRD, 1331.428571, 189
TRD, 1332.428571, 112
TRD, 1333.714286, 190
TRD, 1334.285714, 447
TRD, 1334.714286, 106
TRD, 1337.428571, 242
TRD, 1337.714286, 293
TRD, 1346.285714, 258
TRD, 1347.142857, 235
TRD, 1361.714286, 227
TRD, 1362.571429, 105
TRD, 1377.000000, 223
TRD, 1392.000000, 102
TRD, 1392.285714, 106
TRD, 1392.571429, 89
TRD, 1393.285714, 119
TRD, 1407.000000, 67
TRD, 1409.000000, 68
TRD, 1409.714286, 95
TRD, 1414.714286, 126
TRD, 1423.285714, 223
TRD, 1438.428571, 110
TRD, 1439.428571, 259
TRD, 1440.142857, 294
TRD, 1441.000000, 96
TRD, 1441.428571, 191
TRD, 1441.571429, 89
TRD, 1441.857143, 372
TRD, 1442.714286, 94
TRD, 1444.428571, 446
TRD, 1445.142857, 391
TRD, 1445.571429, 77
TRD, 1445.714286, 62
TRD, 1448.428571, 174
TRD, 1448.857143, 199
TRD, 1449.714286, 258
TRD, 1450.142857, 126
TRD, 1450.428571, 44
TRD, 1452.428571, 13
TRD, 1453.714286, 93
TRD, 1467.428571, 73
TRD, 1482.428571, 87
TRD, 1483.428571, 97
TRD, 1483.714286, 108
TRD, 1483.857143, 109
TRD, 1484.142857, 66
TRD, 1484.285714, 99
TRD, 1485.428571, 2
TRD, 1487.142857, 93
