B00, 185
B00, Trade, 3083.429, 392, B00, B01, 1
B00, Trade, 3097.714, 435, B00, S00, 1
B00, Trade, 3134.286, 91, B00, B02, 1
B00, Trade, 3136.429, 190, B00, B02, 1
B00, Trade, 3158.571, 388, B00, S01, 1
B00, Trade, 3159.143, 171, B00, P00, 1
B00, Trade, 3221.714, 87, B00, B01, 1
B00, Trade, 3251.571, 89, B00, S02, 1
B00, Trade, 3263.429, 137, B00, S00, 1
B00, Trade, 3420.571, 414, B00, S01, 1
B00, Trade, 3584.000, 85, B00, S00, 1
B00, Trade, 3587.429, 204, B00, S02, 1
B00, Trade, 3597.571, 342, B00, B02, 1
B00, Trade, 3597.857, 249, B01, B00, 1
B00, Trade, 3611.286, 113, B00, S02, 1
B00, Trade, 3656.857, 111, B00, S01, 1
B00, Trade, 3745.714, 87, B00, S00, 1
B00, Trade, 3761.143, 95, B00, S00, 1
B00, Trade, 3870.429, 85, B00, S00, 1
B00, Trade, 3870.714, 179, S02, B00, 1
B00, Trade, 3990.429, 85, B00, S01, 1
B00, Trade, 4035.000, 336, B00, S01, 1
B00, Trade, 4247.571, 89, B00, S00, 1
B00, Trade, 4248.000, 277, B00, S00, 1
B00, Trade, 4259.571, 272, B00, S02, 1
B00, Trade, 4290.000, 94, B00, S00, 1
B00, Trade, 4290.714, 287, B00, S01, 1
B00, Trade, 4305.000, 62, S00, B00, 1
B00, Trade, 4306.286, 212, B00, S00, 1
B00, Trade, 4350.429, 356, B00, B02, 1
B00, Trade, 4350.571, 357, S01, B00, 1
B00, Trade, 4351.000, 320, B00, S02, 1
B00, Trade, 4353.286, 116, P00, B00, 1
B00, Trade, 4353.429, 179, B01, B00, 1
B00, Trade, 4398.714, 87, B00, S01, 1
B00, Trade, 4399.286, 70, S01, B00, 1
B00, Trade, 4400.143, 316, B00, B00, 1
B00, Trade, 4400.143, 316, B00, B00, 1
B00, Trade, 4412.000, 243, B00, S02, 1
B00, Trade, 4426.000, 316, B00, B01, 1
B00, Trade, 4426.143, 95, B00, B00, 1
B00, Trade, 4426.143, 95, B00, B00, 1
B00, Trade, 4426.429, 412, B01, B00, 1
B00, Trade, 4427.000, 214, B00, S00, 1
B00, Trade, 4474.857, 85, B00, B02, 1
B00, Trade, 4476.143, 104, B02, B00, 1
B00, Trade, 4504.857, 299, B00, B01, 1
B00, Trade, 4507.143, 309, B02, B00, 1
B00, Trade, 4509.714, 314, B01, B00, 1
B00, Trade, 4669.000, 90, B00, S00, 1
B00, Trade, 4676.714, 242, B00, S01, 1
B00, Trade, 4678.000, 149, B00, S01, 1
B00, Trade, 4748.429, 95, B00, B01, 1
B00, Trade, 4973.143, 87, B00, S01, 1
B00, Trade, 4974.429, 351, B00, P00, 1
B00, Trade, 4974.857, 114, B00, S00, 1
B01, 268
B01, Trade, 1.286, 415, S00, B01, 1
B01, Trade, 45.286, 101, B01, S01, 1
B01, Trade, 62.286, 123, B01, S02, 1
B01, Trade, 62.429, 128, B02, B01, 1
B01, Trade, 63.143, 240, S00, B01, 1
B01, Trade, 76.000, 98, B01, S01, 1
B01, Trade, 121.143, 55, S00, B01, 1
B01, Trade, 121.571, 93, B00, B01, 1
B01, Trade, 122.286, 97, S01, B01, 1
B01, Trade, 123.571, 117, B01, B00, 1
B01, Trade, 124.143, 284, B00, B01, 1
B01, Trade, 151.143, 103, B01, S01, 1
B01, Trade, 182.571, 283, B01, S00, 1
B01, Trade, 205.714, 272, B01, S00, 1
B01, Trade, 211.714, 373, B01, S00, 1
B01, Trade, 213.143, 93, B00, B01, 1
B01, Trade, 213.857, 192, B02, B01, 1
B01, Trade, 227.571, 337, B01, S00, 1
B01, Trade, 244.571, 105, B01, B02, 1
B01, Trade, 302.714, 97, B01, S00, 1
B01, Trade, 333.857, 95, B01, S00, 1
B01, Trade, 363.714, 95, B01, S00, 1
B01, Trade, 365.286, 87, B00, B01, 1
B01, Trade, 366.571, 148, S01, B01, 1
B01, Trade, 367.286, 163, S02, B01, 1
B01, Trade, 392.714, 102, B01, S01, 1
B01, Trade, 393.429, 234, B01, S01, 1
B01, Trade, 425.000, 103, B01, S01, 1
B01, Trade, 427.714, 363, B01, S01, 1
B01, Trade, 428.714, 275, B00, B01, 1
B01, Trade, 483.286, 101, B01, S00, 1
B01, Trade, 561.571, 99, B01, S01, 1
B01, Trade, 578.000, 289, B01, S01, 1
B01, Trade, 578.571, 397, S00, B01, 1
B01, Trade, 650.857, 98, B01, S01, 1
B01, Trade, 652.571, 429, B01, P00, 1
B01, Trade, 673.857, 251, B01, S01, 1
B01, Trade, 677.714, 210, B01, S01, 1
B01, Trade, 696.429, 95, S00, B01, 1
B01, Trade, 728.286, 152, B01, B02, 1
B01, Trade, 730.429, 375, B01, B00, 1
B01, Trade, 740.714, 212, B01, S00, 1
B01, Trade, 741.857, 141, S02, B01, 1
B01, Trade, 801.429, 98, B01, S01, 1
B01, Trade, 822.286, 181, B01, B02, 1
B01, Trade, 824.429, 245, B01, S02, 1
B01, Trade, 833.000, 334, B01, B00, 1
B01, Trade, 892.000, 99, B01, S00, 1
B01, Trade, 893.714, 146, B01, S00, 1
B01, Trade, 894.429, 149, B01, S00, 1
B01, Trade, 895.143, 253, B02, B01, 1
B01, Trade, 955.286, 103, B01, B02, 1
