B01, Trade, 2389.429, 100, S01, B01, 1
B01, Trade, 2451.857, 100, B01, S01, 1
B01, Trade, 2481.000, 100, B01, S00, 1
B01, Trade, 2510.429, 100, B01, S00, 1
B01, Trade, 2540.714, 100, S01, B01, 1
B01, Trade, 2570.429, 100, S01, B01, 1
B01, Trade, 2603.714, 100, B01, S00, 1
B01, Trade, 2662.286, 100, B01, S00, 1
B01, Trade, 2751.714, 100, B01, S00, 1
B01, Trade, 2813.429, 100, B01, S01, 1
B01, Trade, 2842.143, 100, S00, B01, 1
B01, Trade, 2872.571, 100, S00, B01, 1
B01, Trade, 2904.571, 100, B01, S01, 1
B01, Trade, 2933.286, 100, S00, B01, 1
B01, Trade, 2992.286, 100, B01, S01, 1
B01, Trade, 3023.429, 100, B01, S01, 1
B01, Trade, 3052.714, 100, S00, B01, 1
B01, Trade, 3083.143, 100, B01, S00, 1
B01, Trade, 3114.286, 100, B01, S01, 1
B01, Trade, 3144.286, 100, B01, S00, 1
B01, Trade, 3175.286, 100, B01, S01, 1
B01, Trade, 3206.714, 100, S00, B01, 1
B01, Trade, 3235.857, 100, B01, S00, 1
B01, Trade, 3264.429, 100, B01, S00, 1
B01, Trade, 3296.571, 100, S01, B01, 1
B01, Trade, 3326.143, 100, S00, B01, 1
B01, Trade, 3354.143, 100, B01, S00, 1
B01, Trade, 3384.714, 100, B01, S00, 1
B01, Trade, 3416.429, 100, B01, S01, 1
B01, Trade, 3444.429, 100, S00, B01, 1
B01, Trade, 3476.571, 100, B01, S01, 1
B01, Trade, 3504.714, 100, B01, S00, 1
B01, Trade, 3535.000, 100, B01, S00, 1
B01, Trade, 3567.286, 100, B01, S00, 1
B01, Trade, 3596.143, 100, S00, B01, 1
B01, Trade, 3627.429, 100, B01, S01, 1
B01, Trade, 3657.000, 100, B01, S01, 1
B01, Trade, 3686.143, 100, B01, S01, 1
B01, Trade, 3746.286, 100, S00, B01, 1
B01, Trade, 3776.857, 100, B01, S01, 1
B01, Trade, 3806.143, 100, B01, S00, 1
B01, Trade, 3898.000, 100, B01, S00, 1
B01, Trade, 3927.429, 100, B01, S01, 1
B01, Trade, 3957.000, 100, S00, B01, 1
B01, Trade, 4047.571, 100, S01, B01, 1
B01, Trade, 4078.714, 100, B01, S01, 1
B01, Trade, 4108.714, 100, B01, S01, 1
B01, Trade, 4139.143, 100, B01, S00, 1
B01, Trade, 4169.143, 100, B01, S00, 1
B01, Trade, 4199.857, 100, B01, S01, 1
B01, Trade, 4230.286, 100, B01, S01, 1
B01, Trade, 4260.714, 100, S00, B01, 1
B01, Trade, 4290.000, 100, B01, S00, 1
B01, Trade, 4320.000, 100, B01, S01, 1
B01, Trade, 4349.857, 100, B01, S00, 1
B01, Trade, 4384.714, 100, B01, S00, 1
B01, Trade, 4411.714, 100, B01, S01, 1
B01, Trade, 4471.429, 100, B01, S01, 1
B01, Trade, 4501.286, 100, S00, B01, 1
B01, Trade, 4533.714, 100, B01, S00, 1
B01, Trade, 4562.286, 100, B01, S01, 1
B01, Trade, 4622.714, 100, B01, S00, 1
B01, Trade, 4653.714, 100, B01, S00, 1
B01, Trade, 4686.286, 100, B01, S01, 1
B01, Trade, 4716.143, 100, B01, S01, 1
B01, Trade, 4743.571, 100, B01, S01, 1
B01, Trade, 4805.143, 100, S01, B01, 1
B01, Trade, 4837.286, 100, B01, S01, 1
B01, Trade, 4865.714, 100, B01, S01, 1
B01, Trade, 4895.571, 100, B01, S00, 1
B01, Trade, 4927.429, 100, S00, B01, 1
B01, Trade, 4956.143, 100, S01, B01, 1
B01, Trade, 4987.857, 100, S01, B01, 1
B02, 100
B02, Trade, 1999.000, 101, S02, B02, 1
B02, Trade, 2027.857, 100, S01, B02, 1
B02, Trade, 2058.000, 101, S02, B02, 1
B02, Trade, 2088.714, 100, S01, B02, 1
B02, Trade, 2119.857, 101, S02, B02, 1
B02, Trade, 2151.000, 101, S02, B02, 1
B02, Trade, 2179.571, 101, S02, B02, 1
B02, Trade, 2209.000, 101, S02, B02, 1
B02, Trade, 2240.429, 101, S02, B02, 1
B02, Trade, 2270.000, 101, B02, S01, 1
B02, Trade, 2299.286, 101, B02, S00, 1
B02, Trade, 2329.571, 101, B02, S01, 1
B02, Trade, 2362.429, 101, S02, B02, 1
B02, Trade, 2392.429, 101, S02, B02, 1
B02, Trade, 2420.429, 101, B02, S01, 1
B02, Trade, 2451.286, 101, B02, S02, 1
B02, Trade, 2480.000, 101, B02, S02, 1
B02, Trade, 2510.571, 101, S02, B02, 1
B02, Trade, 2541.286, 100, S00, B02, 1
B02, Trade, 2570.714, 101, S02, B02, 1
B02, Trade, 2601.286, 101, B02, S02, 1
B02, Trade, 2630.714, 100, S01, B02, 1
B02, Trade, 2661.000, 101, B02, S02, 1
B02, Trade, 2690.857, 100, S00, B02, 1
B02, Trade, 2722.143, 101, B02, S01, 1
B02, Trade, 2753.429, 101, S02, B02, 1
B02, Trade, 2781.429, 101, B02, S01, 1
B02, Trade, 2815.857, 101, S02, B02, 1
B02, Trade, 2841.571, 101, S02, B02, 1
B02, Trade, 2873.000, 101, S02, B02, 1
B02, Trade, 2902.571, 101, B02, S02, 1
B02, Trade, 2935.429, 101, S02, B02, 1
B02, Trade, 2962.429, 101, B02, S01, 1
B02, Trade, 2993.714, 101, B02, S02, 1
B02, Trade, 3022.857, 101, S02, B02, 1
B02, Trade, 3055.286, 101, S02, B02, 1
B02, Trade, 3083.000, 101, B02, S01, 1
B02, Trade, 3115.143, 101, S02, B02, 1
B02, Trade, 3143.714, 101, S02, B02, 1
B02, Trade, 3176.286, 101, S02, B02, 1
B02, Trade, 3203.714, 101, S02, B02, 1
B02, Trade, 3233.714, 101, B02, S01, 1
B02, Trade, 3264.000, 101, S02, B02, 1
B02, Trade, 3294.857, 100, S00, B02, 1
B02, Trade, 3324.143, 100, S01, B02, 1
B02, Trade, 3356.429, 101, S02, B02, 1
B02, Trade, 3385.143, 101, S02, B02, 1
B02, Trade, 3414.714, 101, B02, S02, 1
B02, Trade, 3445.143, 101, B02, S02, 1
B02, Trade, 3476.143, 101, S02, B02, 1
B02, Trade, 3505.143, 101, S02, B02, 1
B02, Trade, 3535.571, 101, S02, B02, 1
B02, Trade, 3565.143, 101, B02, S01, 1
B02, Trade, 3595.429, 100, S01, B02, 1
B02, Trade, 3626.143, 101, S02, B02, 1
B02, Trade, 3658.000, 101, S02, B02, 1
B02, Trade, 3686.000, 101, S02, B02, 1
B02, Trade, 3715.857, 101, B02, S01, 1
B02, Trade, 3750.571, 101, S02, B02, 1
B02, Trade, 3778.714, 101, S02, B02, 1
B02, Trade, 3806.714, 100, S01, B02, 1
B02, Trade, 3836.714, 101, B02, S00, 1
B02, Trade, 3867.714, 101, B02, S00, 1
B02, Trade, 3897.000, 101, B02, S02, 1
B02, Trade, 3926.857, 100, S00, B02, 1
B02, Trade, 3958.857, 101, S02, B02, 1
B02, Trade, 3991.000, 100, S00, B02, 1
B02, Trade, 4018.429, 101, B02, S00, 1
B02, Trade, 4049.429, 100, S00, B02, 1
B02, Trade, 4078.000, 101, S02, B02, 1
B02, Trade, 4109.143, 101, B02, S02, 1
B02, Trade, 4137.857, 101, S02, B02, 1
B02, Trade, 4168.143, 101, B02, S01, 1
B02, Trade, 4198.714, 101, B02, S02, 1
B02, Trade, 4229.571, 101, B02, S02, 1
B02, Trade, 4259.143, 100, S01, B02, 1
B02, Trade, 4289.571, 101, B02, S01, 1
B02, Trade, 4320.429, 101, B02, S00, 1
B02, Trade, 4350.857, 101, B02, S02, 1
B02, Trade, 4380.286, 101, B02, S01, 1
B02, Trade, 4414.000, 101, S02, B02, 1
B02, Trade, 4440.857, 100, S00, B02, 1
B02, Trade, 4472.143, 101, B02, S02, 1
B02, Trade, 4501.571, 101, B02, S02, 1
B02, Trade, 4534.286, 101, S02, B02, 1
B02, Trade, 4562.143, 101, S02, B02, 1
B02, Trade, 4592.286, 101, B02, S01, 1
B02, Trade, 4623.143, 101, S02, B02, 1
B02, Trade, 4652.857, 101, B02, S01, 1
B02, Trade, 4683.286, 101, B02, S02, 1
B02, Trade, 4714.000, 101, B02, S02, 1
B02, Trade, 4744.286, 100, S00, B02, 1
B02, Trade, 4774.000, 101, B02, S00, 1
B02, Trade, 4804.143, 100, S00, B02, 1
B02, Trade, 4836.286, 101, B02, S02, 1
B02, Trade, 4865.000, 101, S02, B02, 1
B02, Trade, 4896.714, 101, S02, B02, 1
B02, Trade, 4925.714, 101, B02, S02, 1
B02, Trade, 4959.286, 101, S02, B02, 1
B02, Trade, 4991.429, 101, S02, B02, 1
S00, 100
S00, Trade, 1998.714, 100, B01, S00, 1
S00, Trade, 2028.714, 100, S00, B01, 1
S00, Trade, 2059.429, 100, B00, S00, 1
S00, Trade, 2088.857, 100, S00, B01, 1
S00, Trade, 2118.714, 100, S00, B01, 1
S00, Trade, 2148.286, 100, S00, B00, 1
S00, Trade, 2178.571, 100, B00, S00, 1
S00, Trade, 2212.571, 100, S00, B01, 1
S00, Trade, 2240.286, 100, S00, B01, 1
S00, Trade, 2269.000, 100, S00, B00, 1
S00, Trade, 2299.286, 101, B02, S00, 1
S00, Trade, 2330.571, 100, B01, S00, 1
S00, Trade, 2361.286, 100, B00, S00, 1
S00, Trade, 2390.857, 100, S00, B00, 1
S00, Trade, 2419.571, 100, B00, S00, 1
S00, Trade, 2449.714, 100, B00, S00, 1
S00, Trade, 2481.000, 100, B01, S00, 1
S00, Trade, 2510.429, 100, B01, S00, 1
S00, Trade, 2541.286, 100, S00, B02, 1
S00, Trade, 2572.429, 100, B00, S00, 1
S00, Trade, 2603.714, 100, B01, S00, 1
S00, Trade, 2631.714, 100, S00, B00, 1
S00, Trade, 2662.286, 100, B01, S00, 1
S00, Trade, 2690.857, 100, S00, B02, 1
S00, Trade, 2723.143, 100, B00, S00, 1
S00, Trade, 2751.714, 100, B01, S00, 1
S00, Trade, 2782.000, 100, S00, B00, 1
S00, Trade, 2812.143, 100, B00, S00, 1
S00, Trade, 2842.143, 100, S00, B01, 1
S00, Trade, 2872.571, 100, S00, B01, 1
S00, Trade, 2902.000, 100, B00, S00, 1
S00, Trade, 2933.286, 100, S00, B01, 1
S00, Trade, 2964.286, 100, B00, S00, 1
S00, Trade, 2994.000, 100, B00, S00, 1
S00, Trade, 3024.000, 100, B00, S00, 1
S00, Trade, 3052.714, 100, S00, B01, 1
S00, Trade, 3083.143, 100, B01, S00, 1
S00, Trade, 3113.429, 100, B00, S00, 1
S00, Trade, 3144.286, 100, B01, S00, 1
S00, Trade, 3174.000, 100, B00, S00, 1
S00, Trade, 3206.714, 100, S00, B01, 1
S00, Trade, 3235.857, 100, B01, S00, 1
S00, Trade, 3264.429, 100, B01, S00, 1
S00, Trade, 3294.857, 100, S00, B02, 1
S00, Trade, 3326.143, 100, S00, B01, 1
S00, Trade, 3354.143, 100, B01, S00, 1
S00, Trade, 3384.714, 100, B01, S00, 1
S00, Trade, 3414.286, 100, S00, B00, 1
S00, Trade, 3444.429, 100, S00, B01, 1
S00, Trade, 3475.429, 100, B00, S00, 1
S00, Trade, 3504.714, 100, B01, S00, 1
S00, Trade, 3535.000, 100, B01, S00, 1
S00, Trade, 3567.286, 100, B01, S00, 1
S00, Trade, 3596.143, 100, S00, B01, 1
S00, Trade, 3625.429, 100, B00, S00, 1
S00, Trade, 3655.571, 100, S00, B00, 1
S00, Trade, 3685.714, 100, S00, B00, 1
S00, Trade, 3716.714, 100, S00, B00, 1
S00, Trade, 3746.286, 100, S00, B01, 1
S00, Trade, 3779.571, 100, B00, S00, 1
S00, Trade, 3806.143, 100, B01, S00, 1
S00, Trade, 3836.714, 101, B02, S00, 1
S00, Trade, 3867.714, 101, B02, S00, 1
S00, Trade, 3898.000, 100, B01, S00, 1
S00, Trade, 3926.857, 100, S00, B02, 1
S00, Trade, 3957.000, 100, S00, B01, 1
S00, Trade, 3991.000, 100, S00, B02, 1
S00, Trade, 4018.429, 101, B02, S00, 1
S00, Trade, 4049.429, 100, S00, B02, 1
S00, Trade, 4079.571, 100, S00, B00, 1
S00, Trade, 4107.857, 100, B00, S00, 1
S00, Trade, 4139.143, 100, B01, S00, 1
S00, Trade, 4169.143, 100, B01, S00, 1
S00, Trade, 4199.286, 100, B00, S00, 1
S00, Trade, 4234.000, 100, B00, S00, 1
S00, Trade, 4260.714, 100, S00, B01, 1
S00, Trade, 4290.000, 100, B01, S00, 1
S00, Trade, 4320.429, 101, B02, S00, 1
S00, Trade, 4349.857, 100, B01, S00, 1
S00, Trade, 4384.714, 100, B01, S00, 1
S00, Trade, 4410.571, 100, B00, S00, 1
S00, Trade, 4440.857, 100, S00, B02, 1
S00, Trade, 4472.714, 100, B00, S00, 1
S00, Trade, 4501.286, 100, S00, B01, 1
S00, Trade, 4533.714, 100, B01, S00, 1
S00, Trade, 4563.429, 100, S00, B00, 1
S00, Trade, 4593.000, 100, B00, S00, 1
S00, Trade, 4622.714, 100, B01, S00, 1
S00, Trade, 4653.714, 100, B01, S00, 1
S00, Trade, 4684.143, 100, S00, B00, 1
S00, Trade, 4715.714, 100, B00, S00, 1
S00, Trade, 4744.286, 100, S00, B02, 1
S00, Trade, 4774.000, 101, B02, S00, 1
S00, Trade, 4804.143, 100, S00, B02, 1
S00, Trade, 4839.000, 100, B00, S00, 1
S00, Trade, 4868.714, 100, B00, S00, 1
S00, Trade, 4895.571, 100, B01, S00, 1
S00, Trade, 4927.429, 100, S00, B01, 1
S00, Trade, 4955.857, 100, S00, B00, 1
S00, Trade, 4986.143, 100, B00, S00, 1
S01, 100
S01, Trade, 1997.571, 100, S01, B00, 1
S01, Trade, 2027.857, 100, S01, B02, 1
S01, Trade, 2058.143, 100, B01, S01, 1
S01, Trade, 2088.714, 100, S01, B02, 1
S01, Trade, 2118.286, 100, B00, S01, 1
S01, Trade, 2149.000, 100, B01, S01, 1
S01, Trade, 2179.143, 100, B01, S01, 1
S01, Trade, 2208.857, 100, S01, B00, 1
S01, Trade, 2239.143, 100, B00, S01, 1
S01, Trade, 2270.000, 101, B02, S01, 1
S01, Trade, 2299.571, 100, B00, S01, 1
S01, Trade, 2329.571, 101, B02, S01, 1
S01, Trade, 2359.571, 100, S01, B01, 1
S01, Trade, 2389.429, 100, S01, B01, 1
S01, Trade, 2420.429, 101, B02, S01, 1
S01, Trade, 2451.857, 100, B01, S01, 1
S01, Trade, 2480.571, 100, B00, S01, 1
S01, Trade, 2511.286, 100, B00, S01, 1
S01, Trade, 2540.714, 100, S01, B01, 1
S01, Trade, 2570.429, 100, S01, B01, 1
S01, Trade, 2600.714, 100, B00, S01, 1
S01, Trade, 2630.714, 100, S01, B02, 1
S01, Trade, 2661.143, 100, B00, S01, 1
S01, Trade, 2692.000, 100, B00, S01, 1
S01, Trade, 2722.143, 101, B02, S01, 1
S01, Trade, 2752.714, 100, B00, S01, 1
S01, Trade, 2781.429, 101, B02, S01, 1
S01, Trade, 2813.429, 100, B01, S01, 1
S01, Trade, 2842.714, 100, S01, B00, 1
S01, Trade, 2871.857, 100, S01, B00, 1
S01, Trade, 2904.571, 100, B01, S01, 1
S01, Trade, 2932.143, 100, S01, B00, 1
S01, Trade, 2962.429, 101, B02, S01, 1
S01, Trade, 2992.286, 100, B01, S01, 1
S01, Trade, 3023.429, 100, B01, S01, 1
S01, Trade, 3055.571, 100, B00, S01, 1
S01, Trade, 3083.000, 101, B02, S01, 1
S01, Trade, 3114.286, 100, B01, S01, 1
S01, Trade, 3143.143, 100, B00, S01, 1
S01, Trade, 3175.286, 100, B01, S01, 1
S01, Trade, 3203.429, 100, B00, S01, 1
S01, Trade, 3233.714, 101, B02, S01, 1
S01, Trade, 3263.714, 100, B00, S01, 1
S01, Trade, 3296.571, 100, S01, B01, 1
S01, Trade, 3324.143, 100, S01, B02, 1
S01, Trade, 3355.143, 100, B00, S01, 1
S01, Trade, 3384.286, 100, S01, B00, 1
S01, Trade, 3416.429, 100, B01, S01, 1
S01, Trade, 3448.000, 100, B00, S01, 1
S01, Trade, 3476.571, 100, B01, S01, 1
S01, Trade, 3508.571, 100, B00, S01, 1
S01, Trade, 3536.571, 100, S01, B00, 1
S01, Trade, 3565.143, 101, B02, S01, 1
S01, Trade, 3595.429, 100, S01, B02, 1
S01, Trade, 3627.429, 100, B01, S01, 1
S01, Trade, 3657.000, 100, B01, S01, 1
S01, Trade, 3686.143, 100, B01, S01, 1
S01, Trade, 3715.857, 101, B02, S01, 1
S01, Trade, 3746.571, 100, S01, B00, 1
S01, Trade, 3776.857, 100, B01, S01, 1
S01, Trade, 3806.714, 100, S01, B02, 1
S01, Trade, 3836.286, 100, S01, B00, 1
S01, Trade, 3866.429, 100, S01, B00, 1
S01, Trade, 3898.571, 100, B00, S01, 1
S01, Trade, 3927.429, 100, B01, S01, 1
S01, Trade, 3957.714, 100, B00, S01, 1
S01, Trade, 3987.429, 100, B00, S01, 1
S01, Trade, 4017.429, 100, S01, B00, 1
S01, Trade, 4047.571, 100, S01, B01, 1
S01, Trade, 4078.714, 100, B01, S01, 1
S01, Trade, 4108.714, 100, B01, S01, 1
S01, Trade, 4141.286, 100, B00, S01, 1
S01, Trade, 4168.143, 101, B02, S01, 1
S01, Trade, 4199.857, 100, B01, S01, 1
S01, Trade, 4230.286, 100, B01, S01, 1
S01, Trade, 4259.143, 100, S01, B02, 1
S01, Trade, 4289.571, 101, B02, S01, 1
S01, Trade, 4320.000, 100, B01, S01, 1
S01, Trade, 4351.571, 100, B00, S01, 1
S01, Trade, 4380.286, 101, B02, S01, 1
S01, Trade, 4411.714, 100, B01, S01, 1
S01, Trade, 4441.143, 100, B00, S01, 1
S01, Trade, 4471.429, 100, B01, S01, 1
S01, Trade, 4504.429, 100, B00, S01, 1
S01, Trade, 4531.714, 100, S01, B00, 1
S01, Trade, 4562.286, 100, B01, S01, 1
S01, Trade, 4592.286, 101, B02, S01, 1
S01, Trade, 4624.571, 100, B00, S01, 1
S01, Trade, 4652.857, 101, B02, S01, 1
S01, Trade, 4686.286, 100, B01, S01, 1
S01, Trade, 4716.143, 100, B01, S01, 1
S01, Trade, 4743.571, 100, B01, S01, 1
S01, Trade, 4774.857, 100, B00, S01, 1
S01, Trade, 4805.143, 100, S01, B01, 1
S01, Trade, 4837.286, 100, B01, S01, 1
S01, Trade, 4865.714, 100, B01, S01, 1
S01, Trade, 4895.857, 100, B00, S01, 1
S01, Trade, 4925.429, 100, S01, B00, 1
S01, Trade, 4956.143, 100, S01, B01, 1
S01, Trade, 4987.857, 100, S01, B01, 1
S02, 99
S02, Trade, 32.143, 101, S02, B02, 1
S02, Trade, 151.571, 101, B02, S02, 1
S02, Trade, 182.714, 101, S02, B02, 1
S02, Trade, 211.857, 101, S02, B02, 1
S02, Trade, 246.143, 101, B02, S02, 1
S02, Trade, 272.429, 101, B02, S02, 1
S02, Trade, 303.857, 101, B02, S02, 1
S02, Trade, 363.000, 101, S02, B02, 1
S02, Trade, 544.714, 101, S02, B02, 1
S02, Trade, 574.429, 101, B02, S02, 1
S02, Trade, 696.286, 101, S02, B02, 1
S02, Trade, 755.714, 101, B02, S02, 1
S02, Trade, 786.143, 101, S02, B02, 1
S02, Trade, 816.857, 101, B02, S02, 1
S02, Trade, 907.429, 101, S02, B02, 1
S02, Trade, 938.571, 101, B02, S02, 1
S02, Trade, 968.143, 101, B02, S02, 1
S02, Trade, 1058.857, 101, B02, S02, 1
S02, Trade, 1119.143, 101, S02, B02, 1
S02, Trade, 1180.857, 101, S02, B02, 1
S02, Trade, 1242.857, 101, S02, B02, 1
S02, Trade, 1274.857, 101, S02, B02, 1
S02, Trade, 1300.857, 101, B02, S02, 1
S02, Trade, 1392.143, 101, B02, S02, 1
S02, Trade, 1483.429, 101, S02, B02, 1
S02, Trade, 1573.429, 101, S02, B02, 1
S02, Trade, 1605.571, 101, B02, S02, 1
S02, Trade, 1636.000, 101, B02, S02, 1
S02, Trade, 1664.571, 101, B02, S02, 1
S02, Trade, 1697.714, 101, S02, B02, 1
S02, Trade, 1756.286, 101, S02, B02, 1
S02, Trade, 1786.000, 101, S02, B02, 1
S02, Trade, 1817.857, 101, B02, S02, 1
S02, Trade, 1846.857, 101, B02, S02, 1
S02, Trade, 1878.000, 101, B02, S02, 1
S02, Trade, 1937.143, 101, B02, S02, 1
S02, Trade, 1999.000, 101, S02, B02, 1
S02, Trade, 2058.000, 101, S02, B02, 1
S02, Trade, 2119.857, 101, S02, B02, 1
S02, Trade, 2151.000, 101, S02, B02, 1
S02, Trade, 2179.571, 101, S02, B02, 1
S02, Trade, 2209.000, 101, S02, B02, 1
S02, Trade, 2240.429, 101, S02, B02, 1
S02, Trade, 2362.429, 101, S02, B02, 1
S02, Trade, 2392.429, 101, S02, B02, 1
S02, Trade, 2451.286, 101, B02, S02, 1
S02, Trade, 2480.000, 101, B02, S02, 1
S02, Trade, 2510.571, 101, S02, B02, 1
S02, Trade, 2570.714, 101, S02, B02, 1
S02, Trade, 2601.286, 101, B02, S02, 1
S02, Trade, 2661.000, 101, B02, S02, 1
S02, Trade, 2753.429, 101, S02, B02, 1
S02, Trade, 2815.857, 101, S02, B02, 1
S02, Trade, 2841.571, 101, S02, B02, 1
S02, Trade, 2873.000, 101, S02, B02, 1
S02, Trade, 2902.571, 101, B02, S02, 1
S02, Trade, 2935.429, 101, S02, B02, 1
S02, Trade, 2993.714, 101, B02, S02, 1
S02, Trade, 3022.857, 101, S02, B02, 1
