84.143, Bid:,1,95,1,Ask:,2,96,1,114,1,
86.143, Bid:,0,Ask:,1,114,1,
90.571, Bid:,0,Ask:,0,
91.000, Bid:,1,105,1,Ask:,0,
91.714, Bid:,1,105,1,Ask:,1,106,1,
92.429, Bid:,0,Ask:,0,
92.714, Bid:,0,Ask:,1,106,1,
98.143, Bid:,1,100,1,Ask:,1,106,1,
105.857, Bid:,0,Ask:,0,
106.857, Bid:,0,Ask:,1,109,1,
108.000, Bid:,1,100,1,Ask:,1,109,1,
121.000, Bid:,2,87,1,100,1,Ask:,1,109,1,
121.143, Bid:,1,100,1,Ask:,1,109,1,
121.286, Bid:,1,100,1,Ask:,2,101,1,109,1,
122.143, Bid:,2,87,1,100,1,Ask:,2,101,1,109,1,
136.286, Bid:,2,87,1,100,2,Ask:,2,101,1,109,1,
136.571, Bid:,2,87,1,100,2,Ask:,2,101,2,109,1,
151.143, Bid:,2,87,1,100,1,Ask:,1,101,2,
151.429, Bid:,1,100,1,Ask:,1,101,1,
151.429, Bid:,1,100,1,Ask:,2,101,1,102,1,
151.714, Bid:,1,100,2,Ask:,2,101,1,102,1,
152.143, Bid:,2,88,1,100,2,Ask:,2,101,1,102,1,
152.429, Bid:,2,88,1,100,2,Ask:,3,101,1,102,1,114,1,
166.429, Bid:,2,88,1,100,1,Ask:,2,101,1,102,1,
166.714, Bid:,2,88,1,100,1,Ask:,3,101,1,102,1,109,1,
167.143, Bid:,3,88,1,96,1,100,1,Ask:,3,101,1,102,1,109,1,
181.429, Bid:,2,88,1,96,1,Ask:,2,102,1,109,1,
181.714, Bid:,1,88,1,Ask:,2,102,1,109,1,
181.857, Bid:,1,88,1,Ask:,3,100,1,102,1,109,1,
182.143, Bid:,2,88,1,89,1,Ask:,3,100,1,102,1,109,1,
182.714, Bid:,3,88,1,89,1,90,1,Ask:,3,100,1,102,1,109,1,
182.857, Bid:,3,88,1,89,1,91,1,Ask:,3,100,1,102,1,109,1,
183.714, Bid:,3,88,1,89,1,92,1,Ask:,3,100,1,102,1,109,1,
184.000, Bid:,3,88,1,92,1,93,1,Ask:,3,100,1,102,1,109,1,
184.286, Bid:,3,88,1,92,1,94,1,Ask:,3,100,1,102,1,109,1,
184.714, Bid:,3,88,1,92,1,95,1,Ask:,3,100,1,102,1,109,1,
185.429, Bid:,3,88,1,95,1,96,1,Ask:,3,100,1,102,1,109,1,
187.000, Bid:,3,88,1,96,1,97,1,Ask:,3,100,1,102,1,109,1,
187.429, Bid:,3,88,1,96,1,98,1,Ask:,3,100,1,102,1,109,1,
187.857, Bid:,3,88,1,98,1,99,1,Ask:,3,100,1,102,1,109,1,
189.429, Bid:,2,88,1,99,1,Ask:,2,102,1,109,1,
190.571, Bid:,2,88,1,100,1,Ask:,2,102,1,109,1,
196.714, Bid:,1,100,1,Ask:,1,109,1,
196.714, Bid:,2,89,1,100,1,Ask:,1,109,1,
198.143, Bid:,2,89,1,100,1,Ask:,2,108,1,109,1,
198.429, Bid:,2,89,1,100,1,Ask:,2,107,1,109,1,
199.429, Bid:,2,89,1,100,1,Ask:,2,106,1,109,1,
199.857, Bid:,2,89,1,100,1,Ask:,2,105,1,109,1,
200.429, Bid:,2,89,1,100,1,Ask:,2,104,1,109,1,
202.429, Bid:,2,89,1,100,1,Ask:,2,103,1,109,1,
203.143, Bid:,2,89,1,100,1,Ask:,2,102,1,109,1,
205.429, Bid:,2,89,1,100,1,Ask:,2,101,1,109,1,
205.714, Bid:,1,89,1,Ask:,1,109,1,
211.714, Bid:,1,89,1,Ask:,0,
211.714, Bid:,1,89,1,Ask:,1,114,1,
212.000, Bid:,2,89,1,95,1,Ask:,1,114,1,
212.429, Bid:,2,89,1,95,1,Ask:,2,100,1,114,1,
212.571, Bid:,3,89,1,95,1,99,1,Ask:,2,100,1,114,1,
227.000, Bid:,2,95,1,99,1,Ask:,1,100,1,
227.857, Bid:,3,92,1,95,1,99,1,Ask:,1,100,1,
228.000, Bid:,3,92,1,95,1,99,1,Ask:,2,100,1,111,1,
242.000, Bid:,2,92,1,95,1,Ask:,2,100,1,111,1,
242.286, Bid:,1,95,1,Ask:,1,100,1,
242.286, Bid:,1,95,1,Ask:,2,100,1,109,1,
242.857, Bid:,2,95,1,99,1,Ask:,2,100,1,109,1,
243.000, Bid:,2,95,1,99,1,Ask:,2,100,2,109,1,
244.143, Bid:,3,92,1,95,1,99,1,Ask:,2,100,2,109,1,
257.286, Bid:,2,92,1,95,1,Ask:,2,100,1,109,1,
257.571, Bid:,2,92,1,95,1,Ask:,3,99,1,100,1,109,1,
258.429, Bid:,3,92,1,95,1,96,1,Ask:,3,99,1,100,1,109,1,
258.857, Bid:,3,92,1,95,1,97,1,Ask:,3,99,1,100,1,109,1,
259.286, Bid:,3,92,1,95,1,98,1,Ask:,3,99,1,100,1,109,1,
259.429, Bid:,2,92,1,95,1,Ask:,2,100,1,109,1,
260.571, Bid:,2,92,1,95,1,Ask:,2,99,1,109,1,
272.143, Bid:,1,92,1,Ask:,1,109,1,
272.429, Bid:,0,Ask:,0,
272.429, Bid:,0,Ask:,1,86,1,
272.571, Bid:,0,Ask:,2,86,1,111,1,
273.143, Bid:,1,85,1,Ask:,2,86,1,111,1,
273.286, Bid:,1,85,1,Ask:,2,99,1,111,1,
273.429, Bid:,1,86,1,Ask:,2,99,1,111,1,
273.714, Bid:,2,86,1,87,1,Ask:,2,99,1,111,1,
274.714, Bid:,2,87,1,88,1,Ask:,2,99,1,111,1,
275.143, Bid:,2,87,1,89,1,Ask:,2,99,1,111,1,
275.286, Bid:,2,89,1,90,1,Ask:,2,99,1,111,1,
276.000, Bid:,2,90,1,91,1,Ask:,2,99,1,111,1,
276.857, Bid:,2,91,1,92,1,Ask:,2,99,1,111,1,
277.286, Bid:,2,91,1,93,1,Ask:,2,99,1,111,1,
278.286, Bid:,2,91,1,94,1,Ask:,2,99,1,111,1,
279.429, Bid:,2,91,1,95,1,Ask:,2,99,1,111,1,
279.571, Bid:,2,91,1,96,1,Ask:,2,99,1,111,1,
279.857, Bid:,2,91,1,97,1,Ask:,2,99,1,111,1,
280.143, Bid:,2,91,1,98,1,Ask:,2,99,1,111,1,
280.286, Bid:,1,91,1,Ask:,1,111,1,
287.857, Bid:,1,91,1,Ask:,2,104,1,111,1,
289.857, Bid:,2,91,1,95,1,Ask:,2,104,1,111,1,
300.286, Bid:,3,87,1,91,1,95,1,Ask:,2,104,1,111,1,
302.571, Bid:,2,87,1,91,1,Ask:,2,104,1,111,1,
302.571, Bid:,3,87,1,91,1,100,1,Ask:,2,104,1,111,1,
304.714, Bid:,4,87,1,91,1,97,1,100,1,Ask:,2,104,1,111,1,
305.000, Bid:,4,87,1,91,1,97,1,100,1,Ask:,3,101,1,104,1,111,1,
317.429, Bid:,3,87,1,91,1,97,1,Ask:,2,101,1,104,1,
317.571, Bid:,3,87,1,91,1,97,1,Ask:,2,100,1,104,1,
317.857, Bid:,4,87,1,91,1,97,1,98,1,Ask:,2,100,1,104,1,
318.286, Bid:,4,87,1,91,1,97,1,99,1,Ask:,2,100,1,104,1,
318.714, Bid:,4,87,1,91,1,97,1,99,1,Ask:,3,100,1,104,1,107,1,
319.000, Bid:,3,87,1,91,1,97,1,Ask:,2,104,1,107,1,
332.429, Bid:,2,87,1,97,1,Ask:,1,107,1,
332.429, Bid:,3,87,1,89,1,97,1,Ask:,1,107,1,
332.714, Bid:,2,87,1,97,1,Ask:,1,107,1,
