0.000, Bid:,0,Ask:,0,
5.571, Bid:,1,81,1,Ask:,0,
5.857, Bid:,2,42,1,81,1,Ask:,0,
7.857, Bid:,2,42,1,81,1,Ask:,1,137,1,
29.429, Bid:,2,42,1,81,1,Ask:,2,136,1,137,1,
30.143, Bid:,2,42,1,81,1,Ask:,3,135,1,136,1,137,1,
30.286, Bid:,3,42,1,81,1,82,1,Ask:,3,135,1,136,1,137,1,
30.571, Bid:,3,42,1,81,1,82,1,Ask:,3,134,1,135,1,137,1,
30.714, Bid:,3,42,1,81,1,82,1,Ask:,3,133,1,135,1,137,1,
31.000, Bid:,3,42,1,81,1,82,1,Ask:,3,132,1,135,1,137,1,
32.571, Bid:,3,42,1,81,1,83,1,Ask:,3,132,1,135,1,137,1,
32.857, Bid:,3,42,1,81,1,83,1,Ask:,3,131,1,135,1,137,1,
33.143, Bid:,3,42,1,81,1,84,1,Ask:,3,131,1,135,1,137,1,
33.429, Bid:,3,42,1,81,1,84,1,Ask:,3,130,1,131,1,137,1,
33.714, Bid:,3,42,1,81,1,84,1,Ask:,3,129,1,130,1,137,1,
34.143, Bid:,3,42,1,81,1,84,1,Ask:,3,128,1,130,1,137,1,
34.286, Bid:,3,42,1,81,1,84,1,Ask:,3,127,1,130,1,137,1,
34.429, Bid:,3,42,1,81,1,84,1,Ask:,3,126,1,127,1,137,1,
34.857, Bid:,3,42,1,81,1,84,1,Ask:,3,125,1,127,1,137,1,
35.143, Bid:,3,42,1,81,1,84,1,Ask:,3,124,1,127,1,137,1,
35.857, Bid:,3,42,1,81,1,84,1,Ask:,3,123,1,127,1,137,1,
36.000, Bid:,3,42,1,81,1,85,1,Ask:,3,123,1,127,1,137,1,
36.143, Bid:,3,42,1,81,1,85,1,Ask:,3,122,1,127,1,137,1,
36.286, Bid:,3,42,1,81,1,85,1,Ask:,3,121,1,127,1,137,1,
36.429, Bid:,3,42,1,81,1,85,1,Ask:,3,120,1,127,1,137,1,
37.714, Bid:,3,42,1,81,1,85,1,Ask:,2,127,1,137,1,
37.714, Bid:,3,42,1,81,1,85,1,Ask:,3,126,1,127,1,137,1,
38.000, Bid:,3,42,1,81,1,86,1,Ask:,3,126,1,127,1,137,1,
39.000, Bid:,3,42,1,81,1,86,1,Ask:,3,125,1,126,1,137,1,
39.143, Bid:,3,42,1,81,1,86,1,Ask:,3,124,1,125,1,137,1,
39.429, Bid:,3,42,1,81,1,86,1,Ask:,3,123,1,125,1,137,1,
39.714, Bid:,3,42,1,81,1,87,1,Ask:,3,123,1,125,1,137,1,
39.857, Bid:,3,42,1,81,1,87,1,Ask:,3,122,1,125,1,137,1,
40.429, Bid:,3,42,1,81,1,87,1,Ask:,3,121,1,125,1,137,1,
41.000, Bid:,3,42,1,81,1,87,1,Ask:,3,120,1,121,1,137,1,
41.571, Bid:,3,42,1,81,1,87,1,Ask:,3,119,1,121,1,137,1,
42.714, Bid:,3,42,1,81,1,87,1,Ask:,3,118,1,119,1,137,1,
42.857, Bid:,3,42,1,81,1,87,1,Ask:,3,117,1,119,1,137,1,
43.000, Bid:,3,42,1,81,1,87,1,Ask:,3,116,1,119,1,137,1,
43.429, Bid:,3,42,1,81,1,87,1,Ask:,3,115,1,119,1,137,1,
43.857, Bid:,3,42,1,81,1,87,1,Ask:,3,114,1,119,1,137,1,
44.143, Bid:,3,42,1,81,1,87,1,Ask:,3,113,1,119,1,137,1,
44.286, Bid:,3,42,1,81,1,88,1,Ask:,3,113,1,119,1,137,1,
44.714, Bid:,3,42,1,81,1,88,1,Ask:,3,112,1,119,1,137,1,
44.857, Bid:,3,42,1,81,1,89,1,Ask:,3,112,1,119,1,137,1,
45.000, Bid:,3,42,1,81,1,89,1,Ask:,3,111,1,119,1,137,1,
45.571, Bid:,3,42,1,81,1,89,1,Ask:,3,111,1,117,1,137,1,
46.000, Bid:,3,42,1,81,1,89,1,Ask:,3,110,1,117,1,137,1,
