B01, Trade, 4789.857, 97, S01, B01, 1
B01, Trade, 4834.571, 97, B01, S00, 1
B01, Trade, 4850.143, 91, S00, B01, 1
B01, Trade, 4897.857, 95, S01, B01, 1
B01, Trade, 4957.000, 95, B01, S01, 1
B02, 100
B02, Trade, 1575.143, 105, B02, S01, 1
B02, Trade, 1620.714, 111, B02, P00, 1
B02, Trade, 1666.000, 104, S01, B02, 1
B02, Trade, 1709.857, 97, P00, B02, 1
B02, Trade, 1725.429, 101, S01, B02, 1
B02, Trade, 1758.429, 94, S00, B02, 1
B02, Trade, 1785.857, 105, S02, B02, 1
B02, Trade, 1846.714, 106, S02, B02, 1
B02, Trade, 1862.857, 96, S01, B02, 1
B02, Trade, 1924.286, 97, S01, B02, 1
B02, Trade, 1952.429, 100, S01, B02, 1
B02, Trade, 1982.714, 98, P00, B02, 1
B02, Trade, 2000.429, 95, S00, B02, 1
B02, Trade, 2043.714, 97, S01, B02, 1
B02, Trade, 2088.000, 97, S01, B02, 1
B02, Trade, 2118.571, 100, S01, B02, 1
B02, Trade, 2149.286, 105, S02, B02, 1
B02, Trade, 2178.571, 101, S01, B02, 1
B02, Trade, 2224.000, 95, S00, B02, 1
B02, Trade, 2254.143, 110, S02, B02, 1
B02, Trade, 2271.429, 98, S01, B02, 1
B02, Trade, 2316.000, 95, S01, B02, 1
B02, Trade, 2344.571, 114, B02, S02, 1
B02, Trade, 2360.000, 101, P00, B02, 1
B02, Trade, 2404.857, 100, S01, B02, 1
B02, Trade, 2435.429, 99, S01, B02, 1
B02, Trade, 2465.000, 104, S01, B02, 1
B02, Trade, 2509.857, 108, S02, B02, 1
B02, Trade, 2510.286, 114, B02, S01, 1
B02, Trade, 2557.429, 110, B02, S01, 1
B02, Trade, 2587.143, 107, S02, B02, 1
B02, Trade, 2616.571, 97, S01, B02, 1
B02, Trade, 2647.000, 109, B02, S00, 1
B02, Trade, 2661.286, 103, S01, B02, 1
B02, Trade, 2721.143, 102, P00, B02, 1
B02, Trade, 2797.429, 113, B02, S00, 1
B02, Trade, 2813.429, 104, S01, B02, 1
B02, Trade, 2843.714, 110, S02, B02, 1
B02, Trade, 2873.000, 95, S01, B02, 1
B02, Trade, 2887.429, 111, S02, B02, 1
B02, Trade, 2902.714, 87, S00, B02, 1
B02, Trade, 2932.286, 102, S01, B02, 1
B02, Trade, 2978.714, 105, B02, P00, 1
B02, Trade, 3008.143, 106, S02, B02, 1
B02, Trade, 3023.000, 91, S00, B02, 1
B02, Trade, 3068.143, 105, S01, B02, 1
B02, Trade, 3113.000, 105, S02, B02, 1
B02, Trade, 3158.000, 111, S02, B02, 1
B02, Trade, 3188.714, 110, B02, P00, 1
B02, Trade, 3218.857, 108, B02, S01, 1
