Agent Type,Noise Level,Avg Final Profit,Profit Std Dev,Avg Mean Balance,Mean Balance Std Dev,Avg Volatility
MA,HIGH_NOISE,8361.0,,708.0928571357142,,2494.7673101840583
MA,LOW_NOISE,60.0,,5.158227854430379,,17.40993108067388
MA,MED_NOISE,2428.0,,202.38380950857146,,704.7664035781497
MOM_QL,HIGH_NOISE,7829.0,,665.2854785247525,,2220.044555413811
MOM_QL,LOW_NOISE,66.0,,5.844961258139535,,18.437060261548798
MOM_QL,MED_NOISE,2064.0,,189.3353233910448,,600.3616473771734
RNDM,HIGH_NOISE,9986.0,,4861.646241830065,,2850.2658801862062
RNDM,LOW_NOISE,6884.0,,3563.9905392620626,,1823.0962901733258
RNDM,MED_NOISE,10093.0,,5182.9111721611725,,2935.5213954020423
