B00, 142
B00, Trade, 4611.857, 77, B00, S02, 1
B00, Trade, 4622.571, 157, B00, B02, 1
B00, Trade, 4777.714, 370, B00, S01, 1
B00, Trade, 4800.714, 50, B00, S00, 1
B00, Trade, 4870.571, 55, B00, S00, 1
B00, Trade, 4870.857, 401, B00, S02, 1
B00, Trade, 4871.000, 344, S00, B00, 1
B00, Trade, 4872.857, 122, S02, B00, 1
B00, Trade, 4873.143, 193, P00, B00, 1
B00, Trade, 4874.286, 158, B00, S02, 1
B00, Trade, 4909.286, 329, B00, B02, 1
B00, Trade, 4983.143, 374, B00, S02, 1
B00, Trade, 4984.000, 279, B00, S02, 1
B01, 353
B01, Trade, 1.429, 491, B01, S01, 1
B01, Trade, 9.429, 81, B01, S00, 1
B01, Trade, 32.571, 109, B01, B02, 1
B01, Trade, 56.286, 95, B01, S00, 1
B01, Trade, 87.714, 83, B01, B01, 1
B01, Trade, 87.714, 83, B01, B01, 1
B01, Trade, 120.857, 95, B01, S01, 1
B01, Trade, 152.571, 98, S01, B01, 1
B01, Trade, 153.857, 340, B01, S01, 1
B01, Trade, 177.857, 83, S01, B01, 1
B01, Trade, 178.000, 132, S02, B01, 1
B01, Trade, 179.143, 283, B01, S02, 1
B01, Trade, 184.429, 237, B01, S00, 1
B01, Trade, 185.143, 328, S01, B01, 1
B01, Trade, 201.571, 272, B01, B02, 1
B01, Trade, 213.000, 425, B01, S00, 1
B01, Trade, 214.857, 437, S02, B01, 1
B01, Trade, 222.857, 174, B01, B02, 1
B01, Trade, 256.429, 89, B01, S00, 1
B01, Trade, 273.429, 159, B01, S02, 1
B01, Trade, 291.000, 360, B01, B02, 1
B01, Trade, 302.429, 64, B02, B01, 1
B01, Trade, 303.000, 103, B02, B01, 1
B01, Trade, 308.571, 45, B01, B00, 1
B01, Trade, 323.857, 72, S00, B01, 1
B01, Trade, 369.143, 80, B01, S00, 1
B01, Trade, 396.286, 166, B01, S01, 1
B01, Trade, 396.429, 98, B01, B02, 1
B01, Trade, 399.000, 124, B01, S00, 1
B01, Trade, 402.143, 102, B01, P00, 1
B01, Trade, 402.429, 125, B01, B01, 1
B01, Trade, 402.429, 125, B01, B01, 1
B01, Trade, 417.000, 156, B01, S00, 1
B01, Trade, 417.286, 296, S02, B01, 1
B01, Trade, 417.714, 112, B01, S00, 1
B01, Trade, 420.714, 338, S02, B01, 1
B01, Trade, 423.000, 99, B01, S01, 1
B01, Trade, 423.286, 236, B02, B01, 1
B01, Trade, 424.857, 386, B01, P00, 1
B01, Trade, 426.143, 291, B01, S01, 1
