B01, Trade, 4477.143, 116, B01, P00, 1
B01, Trade, 4518.857, 108, S01, B01, 1
B01, Trade, 4562.571, 96, B01, S01, 1
B01, Trade, 4569.286, 100, B01, P00, 1
B01, Trade, 4623.286, 80, S00, B01, 1
B01, Trade, 4635.857, 68, S00, B01, 1
B01, Trade, 4684.429, 109, B01, P00, 1
B01, Trade, 4736.286, 104, B01, S00, 1
B01, Trade, 4775.286, 81, B01, S00, 1
B01, Trade, 4801.286, 88, B01, P00, 1
B01, Trade, 4853.857, 89, B01, S00, 1
B01, Trade, 4865.429, 89, S01, B01, 1
B01, Trade, 4899.000, 101, B01, S00, 1
B01, Trade, 4955.143, 84, B01, S00, 1
B01, Trade, 4976.000, 83, B01, S00, 1
B01, Trade, 4995.286, 102, B01, P00, 1
B02, 100
B02, Trade, 1964.857, 109, S01, B02, 1
B02, Trade, 2000.714, 143, S02, B02, 1
B02, Trade, 2059.857, 113, S01, B02, 1
B02, Trade, 2089.000, 83, S01, B02, 1
B02, Trade, 2109.714, 137, S02, B02, 1
B02, Trade, 2148.143, 131, S02, B02, 1
B02, Trade, 2175.571, 122, B02, P00, 1
B02, Trade, 2210.571, 138, B02, P00, 1
B02, Trade, 2233.429, 124, B02, S01, 1
B02, Trade, 2258.571, 114, S01, B02, 1
B02, Trade, 2300.286, 152, B02, P00, 1
B02, Trade, 2329.000, 98, S01, B02, 1
B02, Trade, 2359.286, 106, S01, B02, 1
B02, Trade, 2384.286, 109, S01, B02, 1
B02, Trade, 2419.714, 154, B02, S00, 1
B02, Trade, 2440.571, 135, B02, S01, 1
B02, Trade, 2480.000, 138, S02, B02, 1
B02, Trade, 2510.000, 133, B02, S00, 1
B02, Trade, 2526.429, 121, B02, P00, 1
B02, Trade, 2552.714, 120, S01, B02, 1
B02, Trade, 2580.857, 101, S01, B02, 1
B02, Trade, 2615.000, 131, B02, P00, 1
B02, Trade, 2660.857, 120, S01, B02, 1
B02, Trade, 2691.571, 121, B02, S01, 1
B02, Trade, 2720.857, 147, B02, S02, 1
B02, Trade, 2746.000, 138, B02, S01, 1
B02, Trade, 2782.286, 123, B02, S01, 1
B02, Trade, 2801.143, 142, B02, S01, 1
B02, Trade, 2832.286, 123, B02, S01, 1
B02, Trade, 2848.143, 110, S01, B02, 1
B02, Trade, 2876.571, 123, B02, P00, 1
B02, Trade, 2905.000, 138, B02, P00, 1
B02, Trade, 2938.143, 108, S01, B02, 1
B02, Trade, 2968.571, 160, S02, B02, 1
B02, Trade, 2996.429, 121, S02, B02, 1
B02, Trade, 3038.857, 91, S01, B02, 1
B02, Trade, 3072.143, 129, B02, P00, 1
B02, Trade, 3112.714, 102, S01, B02, 1
B02, Trade, 3121.857, 133, B02, S02, 1
B02, Trade, 3146.857, 158, B02, S00, 1
B02, Trade, 3204.286, 109, S01, B02, 1
B02, Trade, 3234.000, 108, S01, B02, 1
B02, Trade, 3263.714, 113, S01, B02, 1
B02, Trade, 3294.143, 79, S00, B02, 1
B02, Trade, 3297.714, 126, S02, B02, 1
B02, Trade, 3354.714, 115, S01, B02, 1
B02, Trade, 3360.143, 138, S02, B02, 1
B02, Trade, 3414.857, 131, S02, B02, 1
B02, Trade, 3442.857, 132, B02, P00, 1
B02, Trade, 3476.571, 123, B02, P00, 1
B02, Trade, 3504.571, 139, S02, B02, 1
B02, Trade, 3523.714, 129, B02, S01, 1
B02, Trade, 3549.714, 126, B02, S00, 1
B02, Trade, 3576.286, 117, S01, B02, 1
B02, Trade, 3625.429, 115, S01, B02, 1
B02, Trade, 3654.857, 140, B02, S01, 1
B02, Trade, 3687.857, 136, B02, S01, 1
B02, Trade, 3719.000, 121, B02, S01, 1
B02, Trade, 3738.143, 124, S02, B02, 1
B02, Trade, 3776.143, 122, S02, B02, 1
B02, Trade, 3778.286, 134, B02, S01, 1
B02, Trade, 3835.429, 130, B02, P00, 1
B02, Trade, 3843.143, 140, B02, P00, 1
B02, Trade, 3897.143, 130, S02, B02, 1
B02, Trade, 3914.143, 140, B02, S02, 1
B02, Trade, 3958.286, 133, B02, S02, 1
B02, Trade, 3988.429, 109, S01, B02, 1
B02, Trade, 4017.714, 134, B02, S00, 1
B02, Trade, 4023.143, 94, P00, B02, 1
B02, Trade, 4069.429, 114, S01, B02, 1
B02, Trade, 4082.714, 157, B02, P00, 1
B02, Trade, 4139.000, 120, B02, S01, 1
B02, Trade, 4147.714, 123, B02, P00, 1
B02, Trade, 4201.000, 113, S01, B02, 1
B02, Trade, 4227.857, 142, B02, S02, 1
B02, Trade, 4237.000, 134, B02, P00, 1
B02, Trade, 4262.857, 55, P00, B02, 1
B02, Trade, 4319.571, 104, S01, B02, 1
B02, Trade, 4348.000, 120, S02, B02, 1
B02, Trade, 4356.571, 108, S01, B02, 1
B02, Trade, 4403.857, 138, S02, B02, 1
B02, Trade, 4412.857, 141, B02, S00, 1
B02, Trade, 4445.571, 95, P00, B02, 1
B02, Trade, 4481.286, 133, B02, S02, 1
B02, Trade, 4532.000, 90, S01, B02, 1
B02, Trade, 4552.286, 135, S02, B02, 1
B02, Trade, 4585.429, 121, B02, S00, 1
B02, Trade, 4618.857, 97, S01, B02, 1
B02, Trade, 4653.000, 119, S01, B02, 1
B02, Trade, 4672.571, 58, S00, B02, 1
B02, Trade, 4708.429, 105, S01, B02, 1
B02, Trade, 4734.429, 123, S02, B02, 1
B02, Trade, 4754.286, 113, S01, B02, 1
B02, Trade, 4791.857, 119, S01, B02, 1
B02, Trade, 4819.143, 133, B02, S00, 1
B02, Trade, 4847.571, 119, S01, B02, 1
B02, Trade, 4885.000, 141, B02, P00, 1
B02, Trade, 4924.857, 128, S02, B02, 1
B02, Trade, 4956.143, 128, B02, S01, 1
B02, Trade, 4964.714, 147, S02, B02, 1
S00, 100
S00, Trade, 1907.143, 47, S00, B02, 1
S00, Trade, 1935.857, 66, B00, S00, 1
S00, Trade, 1968.143, 108, B01, S00, 1
S00, Trade, 1997.714, 55, B00, S00, 1
S00, Trade, 2005.857, 61, S00, P00, 1
S00, Trade, 2059.143, 80, B01, S00, 1
S00, Trade, 2084.286, 120, B01, S00, 1
S00, Trade, 2108.000, 84, P00, S00, 1
S00, Trade, 2161.286, 67, S00, B01, 1
S00, Trade, 2185.571, 64, S00, P00, 1
S00, Trade, 2236.571, 102, B01, S00, 1
S00, Trade, 2269.000, 64, B00, S00, 1
S00, Trade, 2297.286, 78, S00, P00, 1
S00, Trade, 2303.714, 69, S00, P00, 1
S00, Trade, 2360.571, 92, B01, S00, 1
S00, Trade, 2390.000, 79, B00, S00, 1
S00, Trade, 2419.714, 154, B02, S00, 1
S00, Trade, 2428.000, 65, B00, S00, 1
S00, Trade, 2479.714, 109, B01, S00, 1
S00, Trade, 2510.000, 133, B02, S00, 1
S00, Trade, 2516.714, 76, S00, P00, 1
S00, Trade, 2563.000, 98, B01, S00, 1
S00, Trade, 2588.000, 100, B01, S00, 1
S00, Trade, 2626.857, 50, B00, S00, 1
S00, Trade, 2662.000, 103, B01, S00, 1
S00, Trade, 2692.429, 80, B00, S00, 1
S00, Trade, 2721.000, 117, B01, S00, 1
S00, Trade, 2731.571, 71, B00, S00, 1
S00, Trade, 2771.000, 92, B01, S00, 1
S00, Trade, 2812.143, 77, S00, P00, 1
S00, Trade, 2844.429, 93, B01, S00, 1
S00, Trade, 2850.143, 80, S00, P00, 1
S00, Trade, 2895.143, 81, B01, S00, 1
S00, Trade, 2923.286, 81, B01, S00, 1
S00, Trade, 2933.000, 97, B01, S00, 1
S00, Trade, 2995.000, 80, B00, S00, 1
S00, Trade, 3053.143, 97, B01, S00, 1
S00, Trade, 3055.857, 80, B00, S00, 1
S00, Trade, 3113.143, 72, B00, S00, 1
S00, Trade, 3146.857, 158, B02, S00, 1
S00, Trade, 3167.143, 113, B01, S00, 1
S00, Trade, 3205.286, 87, B01, S00, 1
S00, Trade, 3234.857, 94, B01, S00, 1
S00, Trade, 3294.143, 79, S00, B02, 1
S00, Trade, 3324.000, 64, B00, S00, 1
S00, Trade, 3354.286, 45, S00, P00, 1
S00, Trade, 3386.857, 49, S00, B01, 1
S00, Trade, 3406.714, 85, B01, S00, 1
S00, Trade, 3444.714, 100, B01, S00, 1
S00, Trade, 3474.429, 85, B01, S00, 1
S00, Trade, 3490.143, 53, B00, S00, 1
S00, Trade, 3535.000, 81, B01, S00, 1
S00, Trade, 3549.714, 126, B02, S00, 1
S00, Trade, 3595.571, 59, B00, S00, 1
S00, Trade, 3619.286, 114, B01, S00, 1
S00, Trade, 3655.857, 65, B00, S00, 1
S00, Trade, 3660.429, 88, B01, S00, 1
S00, Trade, 3710.000, 97, B01, S00, 1
S00, Trade, 3748.000, 75, S00, B01, 1
S00, Trade, 3750.429, 76, P00, S00, 1
S00, Trade, 3806.857, 40, S00, B00, 1
S00, Trade, 3837.429, 74, S00, P00, 1
S00, Trade, 3846.143, 78, S00, P00, 1
S00, Trade, 3900.000, 72, B00, S00, 1
S00, Trade, 3922.143, 70, B00, S00, 1
S00, Trade, 3941.571, 92, B01, S00, 1
S00, Trade, 3987.286, 90, B01, S00, 1
S00, Trade, 4017.714, 134, B02, S00, 1
S00, Trade, 4047.286, 51, B00, S00, 1
S00, Trade, 4053.286, 104, B01, S00, 1
S00, Trade, 4086.714, 55, B00, S00, 1
S00, Trade, 4130.286, 95, B01, S00, 1
S00, Trade, 4147.143, 70, S00, P00, 1
S00, Trade, 4184.143, 89, B01, S00, 1
S00, Trade, 4230.143, 79, S00, P00, 1
S00, Trade, 4244.429, 48, S00, P00, 1
S00, Trade, 4314.143, 79, S00, B01, 1
S00, Trade, 4319.714, 64, B00, S00, 1
S00, Trade, 4337.429, 106, B01, S00, 1
S00, Trade, 4362.286, 78, S00, P00, 1
S00, Trade, 4410.286, 76, S00, B01, 1
S00, Trade, 4412.857, 141, B02, S00, 1
S00, Trade, 4463.714, 93, B01, S00, 1
S00, Trade, 4483.000, 76, B00, S00, 1
S00, Trade, 4513.857, 59, B00, S00, 1
S00, Trade, 4535.857, 91, P00, S00, 1
S00, Trade, 4585.429, 121, B02, S00, 1
S00, Trade, 4623.286, 80, S00, B01, 1
S00, Trade, 4635.857, 68, S00, B01, 1
S00, Trade, 4672.571, 58, S00, B02, 1
S00, Trade, 4700.000, 53, B00, S00, 1
S00, Trade, 4736.286, 104, B01, S00, 1
S00, Trade, 4775.286, 81, B01, S00, 1
S00, Trade, 4788.286, 61, S00, P00, 1
S00, Trade, 4819.143, 133, B02, S00, 1
S00, Trade, 4853.857, 89, B01, S00, 1
S00, Trade, 4895.143, 60, B00, S00, 1
S00, Trade, 4899.000, 101, B01, S00, 1
S00, Trade, 4955.143, 84, B01, S00, 1
S00, Trade, 4976.000, 83, B01, S00, 1
S01, 100
S01, Trade, 1603.857, 119, S01, B02, 1
S01, Trade, 1620.143, 80, S01, P00, 1
S01, Trade, 1687.571, 106, S01, B02, 1
S01, Trade, 1700.571, 108, S01, B02, 1
S01, Trade, 1727.429, 100, B01, S01, 1
S01, Trade, 1776.143, 94, S01, B02, 1
S01, Trade, 1815.571, 110, S01, B01, 1
S01, Trade, 1846.429, 110, S01, B02, 1
S01, Trade, 1876.143, 122, B02, S01, 1
S01, Trade, 1883.143, 103, B01, S01, 1
