0.000, Bid:,0,Ask:,0,
5.571, Bid:,1,81,1,Ask:,0,
5.857, Bid:,2,42,1,81,1,Ask:,0,
7.857, Bid:,2,42,1,81,1,Ask:,1,137,1,
29.429, Bid:,2,42,1,81,1,Ask:,2,117,1,137,1,
30.143, Bid:,1,42,1,Ask:,2,117,1,137,1,
30.286, Bid:,1,42,1,Ask:,1,137,1,
37.714, Bid:,1,42,1,Ask:,2,55,1,137,1,
53.143, Bid:,0,Ask:,2,55,1,137,1,
54.714, Bid:,0,Ask:,1,137,1,
55.143, Bid:,0,Ask:,2,94,1,137,1,
55.857, Bid:,1,92,1,Ask:,2,94,1,137,1,
60.286, Bid:,1,92,1,Ask:,1,94,1,
60.429, Bid:,1,92,1,Ask:,2,94,1,124,1,
60.571, Bid:,1,92,1,Ask:,1,124,1,
67.429, Bid:,0,Ask:,1,124,1,
67.714, Bid:,1,111,1,Ask:,1,124,1,
76.857, Bid:,0,Ask:,1,124,1,
81.429, Bid:,0,Ask:,0,
90.571, Bid:,1,72,1,Ask:,0,
90.857, Bid:,1,72,1,Ask:,1,128,1,
91.000, Bid:,1,72,1,Ask:,2,101,1,128,1,
95.429, Bid:,1,72,1,Ask:,1,128,1,
101.000, Bid:,2,72,1,116,1,Ask:,1,128,1,
107.571, Bid:,2,72,1,116,1,Ask:,0,
108.286, Bid:,2,72,1,116,1,Ask:,1,131,1,
115.143, Bid:,1,72,1,Ask:,1,131,1,
120.857, Bid:,0,Ask:,1,131,1,
122.000, Bid:,0,Ask:,2,94,1,131,1,
123.000, Bid:,0,Ask:,3,67,1,94,1,131,1,
124.571, Bid:,0,Ask:,2,94,1,131,1,
129.000, Bid:,0,Ask:,1,131,1,
141.000, Bid:,1,74,1,Ask:,1,131,1,
150.714, Bid:,1,74,1,Ask:,0,
151.286, Bid:,2,74,1,143,1,Ask:,0,
152.429, Bid:,1,74,1,Ask:,0,
152.571, Bid:,1,74,1,Ask:,1,160,1,
164.286, Bid:,1,74,1,Ask:,0,
164.857, Bid:,1,74,1,Ask:,1,129,1,
170.429, Bid:,0,Ask:,1,129,1,
170.571, Bid:,1,44,1,Ask:,1,129,1,
173.143, Bid:,1,44,1,Ask:,2,94,1,129,1,
181.429, Bid:,1,44,1,Ask:,3,74,1,94,1,129,1,
182.000, Bid:,1,44,1,Ask:,2,94,1,129,1,
185.429, Bid:,1,44,1,Ask:,1,129,1,
186.714, Bid:,1,44,1,Ask:,0,
186.857, Bid:,1,44,1,Ask:,1,129,1,
187.857, Bid:,1,44,1,Ask:,0,
189.571, Bid:,1,44,1,Ask:,1,106,1,
196.571, Bid:,1,44,1,Ask:,0,
211.714, Bid:,0,Ask:,0,
212.000, Bid:,0,Ask:,1,49,1,
212.143, Bid:,1,48,1,Ask:,1,49,1,
220.571, Bid:,1,48,1,Ask:,2,49,1,109,1,
231.143, Bid:,0,Ask:,2,49,1,109,1,
231.571, Bid:,0,Ask:,1,109,1,
237.857, Bid:,0,Ask:,0,
239.143, Bid:,0,Ask:,1,80,1,
