B02, Trade, 3083.143, 101, B02, S00, 1
B02, Trade, 3233.857, 101, B02, S01, 1
B02, Trade, 3296.143, 100, S00, B02, 1
B02, Trade, 3324.571, 100, S01, B02, 1
B02, Trade, 3385.143, 100, S00, B02, 1
B02, Trade, 3414.571, 100, S00, B02, 1
B02, Trade, 3444.714, 100, S00, B02, 1
B02, Trade, 3509.286, 100, B02, S00, 1
B02, Trade, 3536.286, 100, B02, S00, 1
B02, Trade, 3565.857, 101, B02, S01, 1
B02, Trade, 3596.429, 100, S00, B02, 1
B02, Trade, 3716.429, 101, B02, S00, 1
B02, Trade, 3836.857, 101, B02, S00, 1
B02, Trade, 3867.857, 101, B02, S00, 1
B02, Trade, 4017.857, 100, S01, B02, 1
B02, Trade, 4049.857, 100, S00, B02, 1
B02, Trade, 4079.000, 100, B02, S00, 1
B02, Trade, 4139.143, 100, B02, S00, 1
B02, Trade, 4169.143, 100, B02, S00, 1
B02, Trade, 4199.286, 101, B02, S00, 1
B02, Trade, 4230.143, 101, B02, S02, 1
B02, Trade, 4260.571, 100, S01, B02, 1
B02, Trade, 4380.429, 101, B02, S01, 1
B02, Trade, 4501.429, 100, S00, B02, 1
B02, Trade, 4592.429, 101, B02, S02, 1
B02, Trade, 4653.571, 101, B02, S01, 1
B02, Trade, 4714.143, 101, B02, S02, 1
B02, Trade, 4804.286, 100, S00, B02, 1
B02, Trade, 4925.571, 100, S01, B02, 1
S00, 68
S00, Trade, 31.286, 100, S00, B01, 1
S00, Trade, 60.571, 100, S00, B02, 1
S00, Trade, 92.000, 100, S00, B01, 1
S00, Trade, 303.000, 100, S00, B00, 1
S00, Trade, 424.429, 100, S00, B02, 1
S00, Trade, 514.000, 100, S00, B01, 1
S00, Trade, 605.000, 100, S00, B02, 1
S00, Trade, 634.857, 100, S00, B00, 1
S00, Trade, 665.000, 101, B02, S00, 1
S00, Trade, 755.857, 101, B02, S00, 1
S00, Trade, 938.000, 100, S00, B02, 1
S00, Trade, 998.714, 100, S00, B02, 1
S00, Trade, 1059.000, 101, B02, S00, 1
S00, Trade, 1331.714, 100, S00, B00, 1
S00, Trade, 1452.857, 100, S00, B01, 1
